,0
0,0.0007297711539412799
1,0.0005225162980486303
2,0.0005650204320250645
3,0.0009599912136869926
4,0.0003790790144626133
5,0.0005882630393193589
6,0.0006606341810464468
7,0.0008369731846445716
8,0.000975491652607905
9,0.0007458687996844482
10,0.0006216123227849768
11,0.0006745142083643378
12,0.0011132447844207948
13,0.0004473153518664874
14,0.00026508414667514524
15,0.0007482423795542023
16,0.0003933784088659853
17,0.0006789775665068351
18,0.0005661276941262539
19,0.0009005766488287859
20,0.0007627311364291678
21,0.0006457811785522522
22,0.0006066409900400441
23,0.0008056898679932445
24,0.00036382994954068157
25,0.0011136042465076134
26,0.0010653503387907958
27,0.00020498845705891
28,0.0007544730643712672
29,0.0008321604859774545
30,0.000751594996374228
31,0.0006239782772780108
32,0.0008926407404977665
33,0.0004883081768051645
34,0.0003234842302226104
35,0.00013936236706349803
36,0.0009453285926509891
37,0.0011957899168834852
38,0.0004974012837210817
39,0.0003384232279808974
40,0.00027765181924206407
41,0.0007014001634422598
42,0.0006607527542950426
43,0.0004178018529950678
44,0.0008396996383849731
45,0.0009405035939204987
46,0.0010218993658548969
47,0.00045614439662346016
48,0.0010214637899774947
49,0.0011205727777866149
50,0.0009225268215384209
51,0.0006112387300092315
52,0.0005222742719875817
53,0.001067796321905723
54,9.742160907721508e-05
55,0.001059905894433102
56,0.0005091952438693265
57,0.0009798993252209808
58,0.0004110587343261907
59,0.0001541674006889937
60,0.0010748426007293331
61,0.0002290074745083559
62,0.0008718420791080084
63,0.0005102631107601063
64,-0.00010247888331452071
65,0.00047180117566917424
66,0.0010749777200454735
67,0.0003297496768269426
68,0.0007684415570478242
69,0.0008432727005894569
70,0.0009440274260379788
71,0.0005409791198570057
72,0.0005934322777137019
73,0.0016469306346327795
74,2.4706533565215238e-05
75,0.0002465301074787618
76,5.1171920143229245e-05
77,0.0007214799777869774
78,0.0005368088102729984
79,0.00032706669312648095
80,0.0008552968309812392
81,0.0005491946291933381
82,0.0003497428768458399
83,0.0009340961190920871
84,0.0008961539443140665
85,0.00014968325460729126
86,0.0005757443480500863
87,0.0006612722807224
88,0.0005323449312251449
89,0.0005451419924616191
90,0.0009163208990985305
91,0.0004609614345305324
92,0.0006527006515634128
93,0.0002908260777667615
94,0.0006997456761500834
95,0.0008298287698099449
96,0.0005196679453939645
97,0.0005612599009293518
98,0.00055625458821984
99,0.000696267263069802
100,0.0008086614353565369
101,0.0008192711316761737
102,0.0007206210851327236
103,0.000783793099188268
104,0.0003622577173641428
105,0.000681821855642309
106,0.0007776930361657192
107,0.0004644857157548743
108,0.0007133479927080419
109,0.0010025906932118111
110,0.0004289641544406564
111,0.0009627408826385131
112,0.0006212665318570681
113,0.0008308740268563275
114,0.00037146929986795027
115,0.0005583310219462423
116,0.0007177582189843652
