date,RiskMetrics,Historical,F_Historical,MonteCarlo,GARCH,EGARCH,GJR_GARCH
2015-10-28,-0.016180445399401017,-0.017367651760000002,-0.012171344874608723,-0.013418751720167061,-0.0135028476579296,-0.012828839208763081,-0.013573861668382977
2015-10-29,-0.015767803085862127,-0.017367651760000002,-0.01201301772016514,-0.013218002058239581,-0.013088311786277326,-0.012570283485636834,-0.013108512829027117
2015-10-30,-0.015847061771427418,-0.017367651760000002,-0.011541935354962184,-0.012705835204351907,-0.012614404601433146,-0.012127410942204434,-0.01267264771904052
2015-11-02,-0.015951694820031115,-0.017367651760000002,-0.011673629249360884,-0.012891360084211906,-0.013203040096244368,-0.01302597436579478,-0.013918757377597235
2015-11-03,-0.015531354983199398,-0.017367651760000002,-0.012517111691304462,-0.013758925997507481,-0.013491116802983427,-0.013631935396846913,-0.01351278714679024
2015-11-04,-0.015063706079198406,-0.017367651760000002,-0.011840405713862832,-0.013037367231506015,-0.012974287388118056,-0.01304293071404507,-0.013062513060937395
2015-11-05,-0.014787918197888971,-0.017367651760000002,-0.011267045246315381,-0.012415615553407075,-0.01242019020574682,-0.012117735675999655,-0.012626475749222543
2015-11-06,-0.014982785611565722,-0.017367651760000002,-0.010989072668282938,-0.012124029172723315,-0.012304240921900987,-0.012248022142580025,-0.012782305083214466
2015-11-09,-0.014567084481624755,-0.017367651760000002,-0.011499771728049932,-0.012697387473449557,-0.013027202352628607,-0.013217227776065031,-0.014129005643515921
2015-11-10,-0.014150608937066786,-0.017367651760000002,-0.011327847297073541,-0.012486244458331429,-0.012583501064548868,-0.012766264773721546,-0.013775600724819684
2015-11-11,-0.013720225726234384,-0.017367651760000002,-0.010996518693369588,-0.012110791734588337,-0.012081343185678254,-0.012050036267708831,-0.013315139136409136
2015-11-12,-0.014880419518387637,-0.017367651760000002,-0.010498751944922695,-0.011570966932460153,-0.01159127673749958,-0.01123261076526482,-0.012873783785747925
