date,RiskMetrics,F_Historical,MonteCarlo,GARCH,FIGARCH,EGARCH,TARCH,GJR_GARCH
2015-10-28,-0.016180445399401017,-0.012165976743890073,-0.013413379555731571,-0.013502802069031776,-0.013153844118033628,-0.012828814853116542,-0.012160938107092251,-0.013573864458724596
2015-10-29,-0.015767803085862127,-0.012012811250218036,-0.013217780668466687,-0.01308813400683613,-0.01267700988969469,-0.012570231668795647,-0.011614598216737024,-0.013108601290555648
2015-10-30,-0.015847061771427418,-0.011542191638664264,-0.012706086761014564,-0.012614339436950174,-0.012198179856392906,-0.012127376801324613,-0.011094375475888173,-0.012672452712394176
2015-11-02,-0.015951694820031115,-0.011674032705003952,-0.012891750972260316,-0.013202884774756443,-0.012899818878782965,-0.013025998352861359,-0.012953597947922193,-0.0139187167814317
2015-11-03,-0.015531354983199398,-0.012516925089589247,-0.013758734348112927,-0.013491056477255021,-0.013495807525668767,-0.013632007402665383,-0.012475014458992613,-0.013512757485473896
2015-11-04,-0.015063706079198406,-0.011838998972505135,-0.01303595182036964,-0.012974178487351811,-0.013290211231210932,-0.013042743746105432,-0.011889209245822782,-0.01306248396266225
2015-11-05,-0.014787918197888971,-0.011265526831072662,-0.01241409396840072,-0.012420136717057566,-0.012782658461137544,-0.012117706109731813,-0.011298124077096027,-0.012626451518591472
2015-11-06,-0.014982785611565722,-0.010990153379948691,-0.012125107677782932,-0.012304203842316626,-0.012552739888225662,-0.012248042136423224,-0.01209808371349104,-0.012782276062983135
2015-11-09,-0.014567084481624755,-0.011499411233555114,-0.012697020895193603,-0.013027128020736125,-0.013281415279494843,-0.013217226067269706,-0.013965905973473528,-0.014128987918141555
2015-11-10,-0.014150608937066786,-0.011328444232573391,-0.01248683650132694,-0.012583439023574837,-0.013048607887815903,-0.01276626152833587,-0.013886294789449357,-0.013775560011479818
2015-11-11,-0.013720225726234384,-0.010996759670137524,-0.012111039265003431,-0.012081411442503404,-0.012599994343325375,-0.012050047890065725,-0.013181036797656451,-0.013315108893679662
2015-11-12,-0.014880419518387637,-0.010500176352975968,-0.011572388051190735,-0.011591230137754642,-0.01198407408604894,-0.01123264133740696,-0.012489727627710575,-0.012873797372703048
2015-11-13,-0.014822063905907505,-0.0121005868325062,-0.013371664940962098,-0.013850905001573812,-0.014174843465376754,-0.013340667167913106,-0.015607299888312758,-0.01617799982025766
2015-11-16,-0.015679079031439027,-0.012674933262587356,-0.013936907484665938,-0.013746095535660427,-0.014519542675984341,-0.013553094319870741,-0.014888380468232093,-0.015622500542245883
2015-11-17,-0.015226260352474503,-0.013923005553448865,-0.015284398539813065,-0.0149197914601447,-0.01592739325914398,-0.014942495357851344,-0.014347105902307998,-0.01516881886370066
2015-11-18,-0.015492678652351767,-0.012896146395814545,-0.014205887393608457,-0.014323115067210016,-0.015554974097072384,-0.014261817539864113,-0.014125546162264599,-0.01472133189481756
2015-11-19,-0.015025196769000956,-0.013549789596762212,-0.01488619715534369,-0.014650345556710817,-0.015743859970010935,-0.0149206080581839,-0.01357208227152961,-0.014274338833871768
2015-11-20,-0.014723160405897473,-0.012681143353653208,-0.01395647765891224,-0.014000547603025302,-0.014949126926641295,-0.013833332827223209,-0.012871420279812853,-0.01379024492726781
2015-11-23,-0.014575819227869704,-0.012399845792838829,-0.013637274455068528,-0.013563447761113,-0.014215973270678995,-0.013504555650133221,-0.01229215547328731,-0.013340902027043506
2015-11-24,-0.01418023130447583,-0.012036045638598062,-0.013282634788799876,-0.01353719391654281,-0.013897922086411298,-0.013761148443153872,-0.013364862867769075,-0.013729077453887637
2015-11-25,-0.013755859648254471,-0.011755212101210305,-0.012956185946375633,-0.013073498070338136,-0.013288842873188454,-0.013298104631104403,-0.013381113414812648,-0.013421145408889456
2015-11-27,-0.013374646313557302,-0.011376793613594617,-0.012527343310361583,-0.012522935333553599,-0.012585671097053623,-0.012381602450613411,-0.012692955536528704,-0.012977059514834627
2015-11-30,-0.013091721835544157,-0.010977600672418956,-0.012083773972620457,-0.012033717690734391,-0.011902514758514353,-0.011744350473157169,-0.012075018820616734,-0.012558915829761931
2015-12-01,-0.013558085006868793,-0.010577226630198699,-0.011665164348133488,-0.011815917756462924,-0.011559882702715095,-0.011704295059159604,-0.012536917764914142,-0.012520306083435951
2015-12-02,-0.014523483069655209,-0.011643342615871927,-0.012790509976046483,-0.012504736957147333,-0.012293252318259066,-0.01263290895366754,-0.01210016850252573,-0.012206152070256833
2015-12-03,-0.01530241050344397,-0.012441392612532994,-0.013740352582932776,-0.014221199586322496,-0.014364302862337423,-0.01434527506575274,-0.014980395659596347,-0.015212958978955365
2015-12-04,-0.01622533452233387,-0.013628847948187752,-0.015044454267495616,-0.015503478151708073,-0.01620879786428836,-0.015795456978616167,-0.01754061345510034,-0.01737376985946047
2015-12-07,-0.015781614641080247,-0.015459226973091527,-0.016995223157268084,-0.016579313001819244,-0.0177273270514972,-0.01710340407051904,-0.01684372285823698,-0.016865999924050402
2015-12-08,-0.015490241506079305,-0.014301373670331482,-0.01577853678574738,-0.015908855401366467,-0.017334353499847372,-0.016368796172665942,-0.01664102735162446,-0.016372591906511386
2015-12-09,-0.015078222275342045,-0.013863699449686736,-0.015308369764157233,-0.015516123919386,-0.01677891205649251,-0.016152984499040436,-0.017100511889894778,-0.01624473929740529
