date,CWB,CU,BTE,ATA,ASR,ARX,ARE,AQN,CP,ENB,CNR,CNQ,BNS,EMA,CM,BMO,ELD,CLS,BLX,ALA,CIX,CIGI,AGI,CFP,AEM,CCO,CCA,BCE,BCB,BB,ABX,ABT,CAS,CAE
1/4/2005,0.026767487,0.020091316,0.017329048,0.007346222,0.033876364,0.018231929,0.009175623,0.003829456,0.021696546,0.029477437,0.015062522,0.023363365,0.010971659,-0.003664588,0.006386038,0.009016087,0,0.022749213,-0.027406397,0.010562801,0.007321927,-0.008870255,0.002936391,0.030207752,0.00624953,0.073140218,0,-0.004802888,0.010369487,-0.007530662,0.012213403,-0.01657556,0.008363429,-0.017809355
1/5/2005,0.027901693,0.006681167,-0.003176587,-0.018265348,-0.033876364,-0.019916313,0,0,0.007253858,-0.008608419,0.002393489,-0.02737853,0.008614001,-0.029335171,0.002231194,-0.003650313,0.012011497,0.025828207,0.018179663,-0.006170018,0.018852919,-0.000973094,0.020865042,0.010051663,0.000629971,-0.032944245,0.005902554,-0.026024914,-0.036159592,0.026226832,0.021924061,0,-0.008363429,0.040018938
1/6/2005,-0.004765047,-0.007346836,-0.006304301,-0.018826195,0.006669379,-0.006740852,-0.015253156,-0.002879718,0.01952211,-0.011934747,0.031477366,0.011070394,0.01068643,-0.010590292,0.010384167,0.008015334,0.00607616,-0.025206123,-0.053576556,-0.008323708,-0.000574119,0.000973094,0.006056359,-0.018019342,0.013895372,0.006351558,0.005932449,0.009043897,0.003693007,0.013100638,0.000740186,0.01657556,-0.003023025,-0.028173018
1/7/2005,-0.01144503,-0.009932212,-0.003146659,0.000888494,0.041131501,-0.007259503,-0.007560733,-0.003818466,-0.016000588,0.000168187,-0.00724413,-0.011070394,0.005515167,0.004019322,-0.005346416,0.002627498,-0.018087658,0.013784679,-0.008646204,-0.007815794,-0.008037406,-0.004881748,-0.100805599,-0.004620571,-0.003175365,-0.014669887,0.028170435,0.003377347,0,0.019527917,-0.009199917,0,0.006055216,-0.013794349
1/10/2005,0.012634165,-0.007533582,-0.00078512,-0.050270549,0,0,0.003021554,0.000947017,0.003788405,-0.003038286,0.013658778,0.013087953,-0.001255285,0.011147051,-0.000841863,0,-0.020671455,0.01718146,-0.008593214,0.005199647,0.021966254,0.017217577,-0.063686493,0.01392626,-0.016354146,-0.017912964,0,-0.004050078,0.008101135,-0.001790192,-0.007301231,0,-0.002277663,-0.001969231
1/11/2005,0.002780159,0.006545765,0,-0.030797274,-0.080637828,-0.001110981,0,0.005751166,0.003799734,0.000167705,0.012515017,-0.050379917,0.005030623,-0.001530978,0.002385223,0.005279265,0.029658661,0.001927402,0.034781255,0.004795347,-0.022535452,0.017519223,-0.017834938,0.018867379,0.021441037,-0.001726136,-0.00813225,0.001345914,0.005099246,-0.058436679,0.020201364,0,0.010677342,0.007850729
1/12/2005,0.003996521,0.010587361,-0.000784504,0.008230499,-0.0317244,-0.02086214,-0.003021554,-0.000952477,0.013031912,0.005243498,0.000143808,-0.004039377,0.006324077,-0.004559271,0.017863959,0.006901137,-0.002983811,0.001931124,-0.033068509,0.001751724,0.012643899,-0.024940697,0.067898929,-0.002040584,0.016060774,-0.0274376,-0.011667988,-0.010723725,0.000340876,0.048310272,0.011948951,0,0.007690894,0.00988837
1/13/2005,0,0.002664448,-0.006253976,0.02850151,0.006251094,-0.003257008,-0.004484634,-0.006716713,-0.025896176,0.001702781,-0.021980388,-0.00650137,-0.010352437,0.008643795,0.000142164,0.000178028,0.012084263,-0.033579335,0.015526673,-0.006547071,0.012233951,0.017397363,-0.013410525,-0.037962431,0,0.003597084,0.007629147,0.003343517,-0.00102228,-0.024284747,-0.008603416,0,0.006976014,0.005975263
1/14/2005,-0.00558613,-0.006647856,-0.003112382,-0.011834458,-0.006251094,0.003808538,0.004484634,0.001918024,0.006284556,0.000506792,-0.007509847,-0.002287406,-0.003008364,-0.002553547,0.001289098,0.000887119,-0.012084263,0,-0.017239418,0.000441685,-0.004679324,0,-0.064534909,-0.012993942,-0.000642975,-0.007426779,-0.01798074,-0.006337053,-0.001021236,-0.006463457,0.005603896,0,0.003889398,0.010047284
1/17/2005,0.003181749,-0.021290555,-0.002327946,0.011834458,-0.030748832,-0.004891854,0,0.000947915,-0.027608838,-0.004246031,0.013764231,-0.022010821,0.003261387,-0.014163055,0.000860323,0.000891404,-0.008991631,-0.022791254,0.024227929,-0.013408621,-0.011591923,-0.027193465,0.077945434,-0.032995854,-0.012868263,-0.002142672,0.009951668,0.018110936,-0.012170213,-0.006210681,-0.024775575,-0.048924526,0.000788462,-0.023950983
1/18/2005,-0.033332315,0.016003908,-0.003867907,-0.032625227,-0.02989593,-0.004852865,-0.005995455,0,0.006396967,-0.001696431,-0.001898275,0.018788143,0,0.005541209,0.006473194,0.009473348,0,0.022168396,-0.025937746,-0.005132831,-0.007467885,-0.014529213,0,-0.001872599,-0.005730966,-0.01418751,-0.010347476,-0.000676147,0.008773606,0.014510907,0.002926011,0,-0.012422385,-0.005893002
1/19/2005,0.004247228,0.0111011,0.002318948,0.01242252,0,0.006485917,0.076060535,0.004803251,0.00296769,0.002216635,-0.004208001,0.012776797,-0.000253023,0,0.007240289,0.006488975,-0.005918919,0.010012599,-0.010177084,0.001277724,0.01324705,-0.069638807,-0.008079497,0.022691222,-0.007592952,0.010857104,0.000395809,-0.006071689,0,0.030562986,-0.005118213,0,-0.001546055,0.013821439
